,Squared_error,sil_score,Cluster,time,homogeneity,Completeness,Adj_Mutual_info
0,58129.921875,0.07395559,2,0.5098148339893669,0.013002900032474441,0.012863524463014489,0.012786361778069608
1,53008.1953125,0.09826717,3,1.385573583014775,0.03422150965214601,0.026137910558279683,0.029387419613824694
2,49906.890625,0.09785819,4,0.8810823750100099,0.1087087522576566,0.05621154516137235,0.07382201459462669
3,46815.9296875,0.10492646,5,0.4764022500021383,0.10734202444129637,0.05294429087796631,0.07054538442131682
4,44665.40625,0.11034996,6,0.42153125000186265,0.11039635732545194,0.046810811177439536,0.06532851255554652
5,42896.41796875,0.108435616,7,0.44610724999802187,0.10035858695752575,0.03699070214885342,0.053599900911096655
6,41286.94140625,0.1081623,8,0.9766854579793289,0.10215284318217009,0.03739068763658809,0.054191341111884395
7,39748.21875,0.106877565,9,0.9598355409689248,0.13233965173462497,0.04419734401782967,0.06568473334802245
8,38383.29296875,0.10910041,10,0.292076374986209,0.1301902953000835,0.041142533145263255,0.06190017399773756
9,37168.1953125,0.11065576,11,0.5853987919981591,0.14370017034997964,0.04260046598278329,0.06506085780135121
10,36008.62109375,0.11210918,12,0.29850820801220834,0.1543365605378806,0.043277624708956276,0.06691000117294818
11,35031.1796875,0.11444251,13,0.545752166013699,0.1529800779716573,0.04255682749315591,0.06584020383884125
12,34280.02734375,0.11689964,14,0.6246533750090748,0.15270615648265823,0.042078583286519165,0.06517186243284383
13,33310.33984375,0.11521306,15,0.5710703329532407,0.1392375324612462,0.037075059199609746,0.057708512842577164
14,32801.26953125,0.10693846,16,0.5963242090074345,0.1395703108837271,0.036278646011660774,0.056695833880957426
15,32165.619140625,0.100631885,17,0.4059968329966068,0.13644893061446747,0.03377853487990784,0.053233269425730215
16,31672.796875,0.10493899,18,1.023769916035235,0.15969512956528864,0.03880873762269957,0.0614915868378182
17,31210.45703125,0.10390542,19,0.8744183329981752,0.15141794362486188,0.035950866791405765,0.05711375319550919
18,30702.6796875,0.1009718,20,0.5005877079674974,0.15607884042452458,0.03604040444499895,0.05753584655298501
19,30326.4140625,0.102315694,21,0.5856397919706069,0.14880907288478082,0.03395043434217641,0.05421845609677663
20,29948.62890625,0.100022055,22,0.46492916700663045,0.16076914172402826,0.03626249274567618,0.058069886815312735
21,29462.123046875,0.09851901,23,0.48870629200246185,0.14961415737134337,0.03308652934771349,0.05304277728512361
22,29144.69921875,0.0934316,24,0.7254606669885106,0.15319764661122967,0.03295743728524484,0.0530742596094089
23,28701.25390625,0.10138151,25,0.7384116249741055,0.15236767436082524,0.03286264691177174,0.052835657294831695
24,28488.72265625,0.09690298,26,0.461494707968086,0.15659995071410418,0.033143383815382225,0.05345326001406005
25,28125.986328125,0.100396104,27,0.7717830839683302,0.16607308605501087,0.034208376081714204,0.05545890184017295
26,27859.177734375,0.100003846,28,0.6601443749968894,0.16127197762213544,0.03363142692789733,0.05431254332056979
27,27630.146484375,0.0997827,29,0.7940471250331029,0.16694993909986947,0.03436557751242202,0.05562504149829662
